customer_id,age,gender,employment_type,annual_income,credit_score,city_tier
122,45,,Salaried,519000.0,639.0,Tier 2
123,24,Female,Unemployed,290000.0,777.0,Tier 2
124,26,Female,Salaried,886000.0,319.0,Tier 3
125,25,Female,Salaried,457000.0,644.0,Tier 2
126,29,Female,Unemployed,521000.0,389.0,
127,51,Female,Salaried,802000.0,,Tier 2
128,50,Female,Unemployed,347000.0,364.0,Tier 1
129,65,,Salaried,372000.0,773.0,Tier 2
130,40,Male,Unemployed,604000.0,712.0,Tier 1
131,41,Female,Unemployed,119000.0,340.0,Tier 3
132,54,Female,Salaried,712000.0,629.0,
133,52,Male,Unemployed,,757.0,
134,61,Male,Self-Employed,99000.0,449.0,Tier 1
135,57,Other,Salaried,,443.0,Tier 1
136,39,Male,Salaried,,427.0,Tier 1
137,44,Male,Salaried,479000.0,684.0,Tier 1
138,52,Female,Unemployed,975000.0,741.0,
139,18,Male,Salaried,1231000.0,,Tier 1
140,52,Female,Salaried,346000.0,475.0,Tier 1
141,54,Male,Self-Employed,344000.0,810.0,Tier 1
142,64,Male,Salaried,1029000.0,788.0,Tier 1
143,31,Female,Salaried,713000.0,569.0,
144,20,Male,Salaried,1665000.0,644.0,Tier 2
145,18,Female,Salaried,536000.0,497.0,Tier 3
146,22,Female,Salaried,895000.0,438.0,Tier 3
147,43,Female,Unemployed,1307000.0,381.0,
148,31,Female,Self-Employed,231000.0,415.0,Tier 1
149,56,Male,Salaried,311000.0,719.0,Tier 1
150,44,Male,Salaried,726000.0,865.0,
151,26,Male,Salaried,586000.0,666.0,Tier 2
152,32,Male,Salaried,647000.0,843.0,Tier 2
153,32,Female,Unemployed,371000.0,709.0,Tier 3
154,43,Male,Salaried,590000.0,871.0,Tier 3
155,59,Female,Unemployed,490000.0,349.0,
156,30,Male,Self-Employed,762000.0,565.0,
157,68,Female,Salaried,881000.0,470.0,Tier 3
158,49,Male,Unemployed,149000.0,418.0,Tier 3
159,56,Male,Unemployed,980000.0,366.0,Tier 1
160,66,Female,Self-Employed,608000.0,530.0,
161,69,Female,Salaried,884000.0,349.0,Tier 2
162,49,Female,Salaried,548000.0,639.0,Tier 3
163,21,Female,Self-Employed,926000.0,459.0,
164,47,Female,Salaried,863000.0,343.0,
165,54,Female,Self-Employed,724000.0,385.0,Tier 3
166,40,Male,Self-Employed,613000.0,495.0,
167,56,Male,Self-Employed,756000.0,854.0,Tier 2
168,62,Female,Self-Employed,1179000.0,864.0,
169,32,Male,Salaried,932000.0,590.0,
170,60,Male,Salaried,797000.0,737.0,Tier 3
171,46,Male,Salaried,435000.0,691.0,Tier 1
172,53,Male,Salaried,414000.0,661.0,
173,30,Female,Salaried,377000.0,644.0,Tier 3
174,49,Male,Salaried,230000.0,661.0,Tier 2
175,24,Male,Salaried,854000.0,683.0,
176,68,Male,Self-Employed,,728.0,Tier 1
177,39,Female,Salaried,706000.0,451.0,Tier 2
178,45,Female,Salaried,114000.0,432.0,Tier 1
179,19,Male,Self-Employed,373000.0,417.0,Tier 3
180,59,Female,Salaried,562000.0,763.0,Tier 3
181,62,Male,Self-Employed,246000.0,732.0,Tier 1
182,23,Female,Unemployed,250000.0,472.0,Tier 3
183,45,Female,Salaried,312000.0,851.0,Tier 1
184,45,Other,Salaried,752000.0,518.0,
185,61,Male,Self-Employed,158000.0,584.0,
186,61,Male,Unemployed,549000.0,538.0,
187,37,Male,Salaried,1056000.0,592.0,Tier 3
188,47,Male,Salaried,919000.0,849.0,
189,28,Male,Unemployed,937000.0,677.0,Tier 2
190,45,Male,Salaried,495000.0,863.0,Tier 1
191,42,Male,Salaried,1184000.0,730.0,Tier 1
192,56,Female,Salaried,429000.0,568.0,Tier 3
193,50,Male,Salaried,735000.0,413.0,Tier 3
194,18,Other,Self-Employed,758000.0,,Tier 3
195,44,Female,Self-Employed,271000.0,811.0,Tier 2
196,69,Female,,,685.0,Tier 2
197,30,Female,Salaried,864000.0,506.0,Tier 3
198,58,Female,Self-Employed,323000.0,465.0,Tier 2
199,20,Female,Salaried,572000.0,464.0,
200,56,Male,Unemployed,720000.0,489.0,
201,23,Female,Salaried,593000.0,448.0,Tier 1
202,25,Female,Self-Employed,803000.0,351.0,Tier 1
203,44,Male,Self-Employed,740000.0,345.0,
204,26,Male,Self-Employed,762000.0,872.0,
205,54,Female,Unemployed,,804.0,
206,50,Female,Self-Employed,164000.0,798.0,
207,68,Female,Self-Employed,608000.0,579.0,
208,59,Male,Self-Employed,744000.0,567.0,Tier 2
209,61,Female,Salaried,1288000.0,418.0,Tier 3
210,41,Male,Salaried,722000.0,559.0,
211,32,Female,Salaried,547000.0,540.0,Tier 1
212,49,Male,Self-Employed,801000.0,367.0,
213,49,Female,Salaried,397000.0,734.0,Tier 2
214,41,Male,Self-Employed,1025000.0,621.0,
215,58,Male,Salaried,574000.0,827.0,Tier 3
216,69,Male,Self-Employed,530000.0,852.0,Tier 2
217,66,Male,Salaried,168000.0,462.0,Tier 3
218,66,Female,Salaried,460000.0,504.0,Tier 3
219,69,Male,Salaried,,401.0,Tier 1
220,29,Male,Unemployed,1118000.0,570.0,Tier 2
221,56,Male,Salaried,480000.0,773.0,Tier 2
222,19,Female,Salaried,578000.0,788.0,
223,20,Male,Unemployed,809000.0,775.0,Tier 2
224,66,Male,Salaried,351000.0,459.0,Tier 3
225,54,Female,Self-Employed,456000.0,782.0,Tier 2
226,66,Female,Unemployed,988000.0,,
227,34,Female,Self-Employed,147000.0,516.0,Tier 1
228,66,Female,Self-Employed,393000.0,346.0,Tier 3
229,19,Male,Salaried,,368.0,
230,19,Female,Self-Employed,718000.0,464.0,Tier 2
231,45,Female,,1390000.0,,Tier 3
232,40,Female,Unemployed,650000.0,468.0,Tier 1
233,54,Male,Self-Employed,421000.0,348.0,Tier 1
234,49,Female,Salaried,472000.0,763.0,Tier 2
235,50,Male,,939000.0,553.0,
236,18,Female,Salaried,395000.0,309.0,Tier 3
237,36,Male,Salaried,542000.0,677.0,
238,19,Male,Salaried,875000.0,324.0,Tier 2
239,61,Female,Salaried,508000.0,545.0,Tier 1
240,43,Male,Self-Employed,778000.0,513.0,
241,49,Female,Salaried,,602.0,Tier 2
242,23,Female,Salaried,300000.0,598.0,Tier 2
243,49,Female,Salaried,435000.0,881.0,Tier 2
244,21,Male,Salaried,169000.0,375.0,
245,28,Other,Self-Employed,261000.0,463.0,
246,34,Female,Self-Employed,407000.0,574.0,Tier 2
247,55,Male,Self-Employed,1235000.0,,Tier 1
248,41,Female,Self-Employed,719000.0,680.0,Tier 1
249,22,Male,Salaried,848000.0,,Tier 2
250,69,Male,Self-Employed,803000.0,615.0,Tier 3
251,51,Female,Self-Employed,82000.0,630.0,Tier 2
252,23,Female,Salaried,638000.0,446.0,Tier 2
253,39,Male,Salaried,443000.0,825.0,
254,28,Male,Salaried,125000.0,403.0,Tier 3
255,65,Female,Salaried,737000.0,816.0,Tier 1
256,33,Male,Salaried,49000.0,437.0,Tier 2
257,50,Male,Salaried,595000.0,437.0,Tier 3
258,26,,Salaried,509000.0,848.0,
259,23,Male,Salaried,334000.0,342.0,Tier 2
260,33,Female,Salaried,889000.0,826.0,Tier 2
261,46,Male,Salaried,542000.0,818.0,Tier 2
262,20,Female,Self-Employed,667000.0,500.0,Tier 1
263,37,Male,Salaried,804000.0,845.0,Tier 1
264,53,Other,Unemployed,845000.0,602.0,Tier 2
265,36,Male,Unemployed,634000.0,565.0,Tier 2
266,43,Female,Self-Employed,331000.0,323.0,Tier 2
267,20,Female,Salaried,570000.0,899.0,Tier 3
268,36,,Unemployed,828000.0,891.0,Tier 3
269,37,Male,Salaried,417000.0,699.0,Tier 3
270,49,Female,Salaried,,436.0,
271,24,Male,Self-Employed,407000.0,650.0,Tier 2
272,69,Female,Salaried,845000.0,730.0,
273,58,Male,Salaried,575000.0,747.0,Tier 3
274,50,Male,Self-Employed,282000.0,,Tier 3
275,57,Male,Salaried,1382000.0,,Tier 3
276,56,Female,Salaried,642000.0,656.0,
277,35,Female,,154000.0,394.0,
278,57,Male,Self-Employed,322000.0,,Tier 2
279,18,Female,Salaried,1009000.0,412.0,
280,28,Other,Self-Employed,849000.0,596.0,Tier 1
281,45,Female,Salaried,965000.0,300.0,Tier 2
282,42,Female,Unemployed,498000.0,346.0,Tier 2
283,67,Female,Salaried,839000.0,549.0,Tier 2
284,40,Female,Unemployed,518000.0,428.0,Tier 1
285,48,Male,,705000.0,863.0,Tier 2
286,47,Female,,213000.0,500.0,
287,59,Male,Salaried,520000.0,754.0,Tier 3
288,52,Female,Unemployed,168000.0,493.0,
289,24,Other,Salaried,567000.0,515.0,Tier 1
290,33,Male,Salaried,,534.0,Tier 3
291,43,Male,Salaried,659000.0,418.0,
292,65,Male,Self-Employed,266000.0,730.0,
293,69,Male,Self-Employed,,358.0,Tier 1
294,66,Female,Self-Employed,1538000.0,327.0,Tier 2
295,19,Female,Unemployed,543000.0,667.0,Tier 3
296,18,Male,Salaried,417000.0,410.0,
297,65,Female,Salaried,633000.0,850.0,Tier 2
298,29,Male,Self-Employed,309000.0,371.0,
299,22,Other,Self-Employed,481000.0,648.0,Tier 1
300,54,Male,Salaried,580000.0,852.0,Tier 3
301,49,Female,Unemployed,,828.0,Tier 1
302,26,Male,Salaried,918000.0,767.0,
303,58,Male,Self-Employed,,504.0,Tier 2
304,52,Female,Salaried,256000.0,713.0,Tier 3
305,36,Male,Salaried,35000.0,529.0,Tier 1
306,65,Female,Unemployed,901000.0,375.0,Tier 2
307,33,Female,Salaried,416000.0,824.0,
308,20,Female,Unemployed,687000.0,486.0,Tier 3
309,37,,Salaried,1051000.0,870.0,Tier 3
310,41,Male,Self-Employed,,800.0,Tier 2
311,50,Female,Self-Employed,135000.0,572.0,
312,41,Female,Salaried,698000.0,666.0,
313,69,Male,Unemployed,526000.0,323.0,
314,28,Female,Salaried,179000.0,505.0,Tier 2
315,66,Female,Self-Employed,890000.0,672.0,Tier 2
316,25,Female,Unemployed,704000.0,606.0,Tier 2
317,53,Male,Salaried,1172000.0,742.0,Tier 2
318,55,Female,Salaried,610000.0,536.0,Tier 1
319,57,Male,Salaried,386000.0,832.0,Tier 1
320,37,Female,Salaried,707000.0,546.0,Tier 3
321,52,Female,Salaried,514000.0,481.0,Tier 2
322,65,Male,Unemployed,987000.0,,Tier 1
323,42,Female,Salaried,631000.0,650.0,
324,52,Female,Salaried,405000.0,378.0,
325,42,,Unemployed,660000.0,653.0,Tier 3
326,46,Male,Salaried,695000.0,545.0,Tier 3
327,35,Female,Self-Employed,667000.0,776.0,Tier 1
328,63,Female,Salaried,515000.0,843.0,
329,35,Female,Self-Employed,628000.0,884.0,Tier 1
330,19,Male,Salaried,431000.0,300.0,Tier 3
331,52,Male,Self-Employed,673000.0,676.0,Tier 2
332,33,Female,Unemployed,324000.0,674.0,Tier 1
333,58,Male,Salaried,,573.0,Tier 3
334,53,Other,Salaried,1189000.0,,
335,50,Male,,444000.0,603.0,Tier 1
336,21,,Salaried,,884.0,Tier 1
337,50,Female,Salaried,113000.0,653.0,Tier 2
338,31,Female,Salaried,496000.0,395.0,
339,38,Male,Salaried,867000.0,302.0,Tier 1
340,65,Female,Salaried,717000.0,691.0,Tier 3
341,37,Female,Salaried,108000.0,586.0,Tier 3
342,25,Female,Salaried,406000.0,684.0,Tier 3
343,24,Male,Unemployed,881000.0,756.0,Tier 1
344,20,Female,Self-Employed,,758.0,
345,34,Female,Salaried,750000.0,434.0,Tier 1
346,50,Male,Salaried,675000.0,687.0,Tier 1
347,65,Female,,108000.0,,
348,29,Male,,814000.0,672.0,Tier 3
349,68,Female,,831000.0,629.0,
350,39,,Unemployed,573000.0,518.0,
351,39,Male,Self-Employed,681000.0,446.0,Tier 1
352,63,Male,Salaried,381000.0,658.0,Tier 2
353,47,Female,,522000.0,495.0,
354,55,Male,Self-Employed,662000.0,474.0,Tier 3
355,55,Female,Self-Employed,911000.0,618.0,
356,62,Male,Self-Employed,738000.0,751.0,
357,68,Male,Self-Employed,,751.0,Tier 2
358,25,Male,Self-Employed,504000.0,738.0,
359,44,Male,Salaried,,508.0,Tier 2
360,44,Male,Salaried,,836.0,Tier 1
361,51,Female,Salaried,594000.0,656.0,Tier 2
362,38,Female,Salaried,196000.0,603.0,Tier 2
363,47,Male,Unemployed,338000.0,374.0,Tier 1
364,50,Female,Salaried,1120000.0,800.0,Tier 3
365,45,Female,Unemployed,732000.0,511.0,
366,64,Male,Salaried,756000.0,,Tier 3
367,50,Female,Unemployed,736000.0,,
368,22,Female,Salaried,707000.0,424.0,Tier 2
369,65,Male,Salaried,644000.0,614.0,Tier 2
370,36,Male,Salaried,956000.0,635.0,Tier 1
371,21,Female,Salaried,754000.0,640.0,Tier 2
372,52,Female,Salaried,81000.0,425.0,Tier 1
373,66,Male,Self-Employed,391000.0,434.0,
374,34,,Salaried,421000.0,424.0,Tier 1
375,61,Female,Unemployed,1310000.0,601.0,Tier 2
376,45,Male,Self-Employed,635000.0,795.0,
377,47,Male,Salaried,1009000.0,586.0,Tier 2
378,46,Male,Self-Employed,535000.0,502.0,
379,63,Female,Salaried,702000.0,880.0,Tier 2
380,23,Female,Self-Employed,618000.0,749.0,
381,52,Female,Self-Employed,444000.0,365.0,Tier 2
382,58,Female,Salaried,326000.0,578.0,Tier 2
383,54,Male,Self-Employed,600000.0,444.0,Tier 1
384,41,Female,Salaried,366000.0,575.0,Tier 1
385,46,Male,Salaried,643000.0,494.0,Tier 3
386,66,Male,Self-Employed,471000.0,777.0,Tier 1
387,63,Female,Salaried,848000.0,800.0,Tier 2
388,48,Male,Salaried,357000.0,780.0,Tier 2
389,52,Female,Salaried,569000.0,747.0,Tier 2
390,50,Other,Self-Employed,513000.0,721.0,Tier 1
391,69,Female,Salaried,491000.0,734.0,
392,38,Male,Unemployed,841000.0,703.0,
393,49,Male,Self-Employed,78000.0,301.0,Tier 2
394,40,Male,Self-Employed,35000.0,897.0,
395,50,Female,Salaried,503000.0,359.0,
396,20,Female,Salaried,,510.0,Tier 3
397,35,Female,Unemployed,706000.0,496.0,Tier 1
398,42,Female,Salaried,1037000.0,737.0,Tier 2
399,59,Female,Salaried,922000.0,395.0,
400,48,Female,Salaried,178000.0,899.0,Tier 3
401,20,Male,Salaried,,579.0,
402,57,Female,Salaried,337000.0,645.0,Tier 1
403,63,Female,Unemployed,289000.0,,Tier 1
404,41,Male,Salaried,92000.0,760.0,
405,67,,Unemployed,321000.0,322.0,Tier 3
406,49,Female,Salaried,744000.0,726.0,Tier 1
407,64,Female,Unemployed,793000.0,514.0,Tier 3
408,39,Female,Self-Employed,705000.0,653.0,
409,40,Male,Salaried,336000.0,373.0,
410,19,Male,Self-Employed,467000.0,462.0,Tier 2
411,44,Male,Salaried,294000.0,305.0,
412,59,Female,Unemployed,1005000.0,857.0,Tier 1
413,19,Female,Unemployed,791000.0,,Tier 1
414,43,Male,Salaried,130000.0,358.0,Tier 1
415,34,Female,Salaried,684000.0,500.0,
416,57,Male,Self-Employed,277000.0,362.0,
417,50,Male,Salaried,714000.0,418.0,
418,26,Male,Salaried,,381.0,Tier 3
419,60,Male,Salaried,277000.0,720.0,Tier 2
420,65,Male,Unemployed,1271000.0,831.0,
421,56,Male,Salaried,932000.0,532.0,
422,46,Male,Salaried,367000.0,678.0,Tier 2
423,59,Male,Salaried,587000.0,431.0,
424,43,Male,Salaried,822000.0,861.0,Tier 3
425,52,Female,Self-Employed,5000.0,474.0,Tier 3
426,67,Male,Salaried,724000.0,323.0,Tier 2
427,42,Female,Salaried,742000.0,621.0,Tier 3
428,41,Male,Self-Employed,867000.0,789.0,Tier 1
429,30,Male,Unemployed,320000.0,814.0,Tier 1
430,24,Male,Salaried,689000.0,673.0,Tier 3
431,53,Female,Salaried,889000.0,576.0,Tier 2
432,62,Male,Salaried,315000.0,850.0,Tier 3
433,37,Female,Unemployed,792000.0,669.0,Tier 3
434,18,Female,Salaried,313000.0,341.0,Tier 3
435,25,Male,Salaried,438000.0,618.0,Tier 1
436,63,Female,Salaried,79000.0,883.0,Tier 1
437,33,Male,Unemployed,133000.0,416.0,Tier 1
438,31,Male,Salaried,851000.0,733.0,
439,29,Male,Salaried,923000.0,543.0,Tier 1
440,68,Male,Self-Employed,724000.0,752.0,Tier 1
441,40,Male,Unemployed,287000.0,793.0,Tier 1
442,32,Female,Salaried,835000.0,,Tier 3
443,45,Male,Self-Employed,671000.0,705.0,Tier 1
444,51,Female,Salaried,,442.0,
445,19,Male,Self-Employed,724000.0,558.0,
446,49,,Self-Employed,403000.0,521.0,Tier 1
447,40,Male,Unemployed,629000.0,,Tier 3
448,39,Female,Salaried,490000.0,440.0,Tier 1
449,68,Female,Self-Employed,640000.0,308.0,Tier 2
450,42,Male,Self-Employed,827000.0,674.0,
451,39,Male,Unemployed,419000.0,459.0,Tier 1
452,39,Male,Self-Employed,821000.0,864.0,Tier 2
453,66,Male,Salaried,616000.0,305.0,Tier 2
454,69,Male,Salaried,557000.0,539.0,Tier 2
455,59,Female,Unemployed,559000.0,412.0,Tier 1
456,23,Male,Unemployed,823000.0,446.0,Tier 2
457,32,Female,Salaried,547000.0,,
458,60,Male,Salaried,567000.0,826.0,Tier 3
459,54,Female,Self-Employed,1083000.0,444.0,
460,50,Male,Salaried,850000.0,484.0,
461,25,Male,Salaried,956000.0,810.0,
462,61,Male,Salaried,1092000.0,799.0,Tier 1
463,61,Male,Self-Employed,676000.0,771.0,Tier 1
464,22,Female,Unemployed,1309000.0,825.0,
465,56,Female,Salaried,,589.0,
466,21,Female,Unemployed,204000.0,879.0,Tier 3
467,23,Female,Self-Employed,443000.0,,Tier 3
468,62,Female,Unemployed,119000.0,862.0,Tier 1
469,49,Female,Salaried,950000.0,805.0,Tier 2
470,69,Male,Salaried,666000.0,520.0,Tier 2
471,47,Male,Salaried,452000.0,,Tier 3
472,64,Male,Salaried,654000.0,322.0,
473,52,Female,Unemployed,545000.0,655.0,Tier 2
474,57,Male,Unemployed,339000.0,793.0,Tier 3
475,69,Female,Self-Employed,1258000.0,585.0,Tier 1
476,33,Male,Salaried,645000.0,652.0,Tier 2
477,30,Female,Salaried,626000.0,500.0,Tier 1
478,67,,Salaried,571000.0,776.0,Tier 1
479,59,Male,Self-Employed,250000.0,534.0,
480,47,Female,Salaried,79000.0,347.0,Tier 3
481,36,Female,,979000.0,,Tier 2
482,34,,Salaried,461000.0,865.0,Tier 1
483,36,Male,Salaried,68000.0,523.0,Tier 1
484,45,Female,Unemployed,159000.0,409.0,Tier 3
485,43,Male,Self-Employed,779000.0,463.0,Tier 1
486,54,Female,Self-Employed,808000.0,884.0,Tier 2
487,43,Female,Unemployed,462000.0,655.0,
488,40,Female,Unemployed,939000.0,765.0,
489,26,Male,Unemployed,180000.0,303.0,Tier 3
490,29,Female,Unemployed,,622.0,Tier 2
491,18,Male,Salaried,101000.0,544.0,Tier 2
492,18,Male,Salaried,761000.0,604.0,Tier 3
493,64,Female,Self-Employed,674000.0,576.0,Tier 2
494,51,Female,Salaried,847000.0,567.0,Tier 2
495,49,Other,Self-Employed,71000.0,818.0,Tier 2
496,65,Female,Unemployed,518000.0,493.0,
497,42,Male,Salaried,915000.0,795.0,
498,57,Male,Salaried,273000.0,829.0,Tier 1
499,62,Male,Self-Employed,1030000.0,370.0,Tier 3
500,18,Male,Salaried,2000.0,384.0,
501,33,Male,Salaried,88000.0,420.0,Tier 3
502,56,Male,Self-Employed,340000.0,672.0,
503,22,Male,Unemployed,792000.0,633.0,Tier 1
504,39,Female,Self-Employed,1023000.0,774.0,Tier 3
505,46,Female,Salaried,398000.0,798.0,Tier 3
506,20,Female,Self-Employed,667000.0,738.0,
507,29,Male,,976000.0,672.0,Tier 1
508,43,Male,Salaried,783000.0,450.0,Tier 1
509,33,Male,Self-Employed,1240000.0,439.0,Tier 3
510,68,Male,Self-Employed,407000.0,457.0,Tier 1
511,54,Female,Self-Employed,984000.0,884.0,
512,39,Female,Salaried,373000.0,693.0,Tier 3
513,46,Female,,705000.0,499.0,Tier 2
514,31,Female,Salaried,624000.0,675.0,Tier 1
515,45,Male,Salaried,706000.0,551.0,Tier 3
516,22,Male,Salaried,267000.0,753.0,Tier 1
517,64,Female,Self-Employed,437000.0,442.0,Tier 1
518,66,Female,Self-Employed,318000.0,407.0,Tier 2
519,47,Female,Salaried,,811.0,Tier 2
520,63,Female,Salaried,572000.0,822.0,Tier 2
521,69,Male,Salaried,,762.0,Tier 1
522,22,Male,Self-Employed,,755.0,Tier 1
523,29,Male,Unemployed,775000.0,469.0,Tier 3
524,33,Male,Salaried,697000.0,626.0,
525,43,Male,Salaried,1111000.0,732.0,Tier 2
526,43,Male,Salaried,643000.0,575.0,
527,65,Female,Self-Employed,,500.0,Tier 1
528,38,Female,Self-Employed,146000.0,875.0,Tier 3
529,56,Male,Salaried,39000.0,,Tier 2
530,53,Male,Salaried,490000.0,474.0,
531,50,Female,Unemployed,464000.0,635.0,Tier 2
532,47,Male,Unemployed,370000.0,709.0,Tier 1
533,54,Female,,472000.0,690.0,Tier 3
534,40,Female,Salaried,822000.0,319.0,Tier 3
535,27,Female,Salaried,469000.0,791.0,
536,22,Male,Self-Employed,808000.0,498.0,Tier 2
537,53,Female,Self-Employed,972000.0,592.0,
538,51,Male,Unemployed,827000.0,894.0,Tier 1
539,69,Male,Salaried,536000.0,547.0,Tier 2
540,48,Male,Unemployed,472000.0,695.0,
