loan_id,customer_id,loan_amount,interest_rate,loan_term_months,emi,disbursal_date
96,21483,500000,21.59,36,16887.5,2024-03-02
97,21483,50000,14.77,18,3188.06,2025-08-15
98,21483,200000,12.92,36,6273.33,2025-03-21
99,24913,200000,22.47,36,6803.89,2025-12-05
100,41601,500000,16.56,6,97133.33,2024-02-22
101,41601,50000,24.48,36,1728.89,2025-08-11
102,8863,100000,20.74,6,20123.33,2025-08-03
103,27316,200000,26.96,6,42320.0,2024-08-25
104,10680,200000,24.17,24,10347.5,2025-02-16
105,6157,200000,25.31,12,20885.0,2024-06-20
106,6157,300000,28.26,12,32065.0,2025-02-14
107,6157,200000,21.75,6,40583.33,2025-07-02
108,28878,100000,22.32,36,3397.78,2025-01-27
109,26708,200000,23.16,24,10263.33,2024-01-15
110,46258,500000,23.36,12,51400.0,2024-01-21
111,46258,200000,24.37,36,6909.44,2023-03-15
112,46258,100000,28.15,12,10679.17,2024-08-25
113,3326,100000,12.59,12,9382.5,2025-08-15
114,48588,500000,32.39,6,110325.0,2024-08-25
115,48588,500000,16.67,24,24306.25,2025-06-15
116,47552,100000,15.54,6,19256.67,2023-10-28
117,47552,50000,30.68,12,5445.0,2025-06-14
118,35856,500000,23.15,36,17104.17,2024-09-11
119,35856,50000,22.96,24,2561.67,2024-06-19
120,18921,500000,26.29,24,26310.42,2025-02-08
121,18921,500000,22.24,36,16977.78,2023-06-20
122,42267,100000,29.85,24,5410.42,2023-07-13
123,24135,100000,32.16,18,7342.22,2023-03-17
124,18557,500000,23.63,12,51512.5,2024-11-01
125,24720,50000,29.13,12,5380.42,2024-07-06
126,24720,200000,33.43,6,44476.67,2023-09-09
127,8615,100000,21.19,12,10099.17,2025-01-03
128,12075,50000,21.96,18,3387.78,2025-02-13
129,12075,300000,13.49,24,14186.25,2024-11-02
130,14688,500000,34.71,6,112258.33,2024-10-11
131,28974,500000,21.13,6,100941.67,2023-03-29
132,28974,200000,30.08,24,10840.0,2025-12-21
133,46109,500000,31.2,12,54666.67,2024-10-11
134,23640,200000,22.46,6,40820.0,2023-12-01
135,23640,300000,29.38,24,16172.5,2025-09-20
136,21572,500000,24.82,24,26004.17,2023-09-27
137,9190,50000,14.01,24,2375.21,2025-12-14
138,36019,300000,16.36,18,19393.33,2024-10-03
139,47918,100000,22.91,18,6828.33,2023-08-05
140,47918,300000,18.68,24,14835.0,2024-01-11
141,41962,50000,23.29,36,1712.36,2025-01-11
142,43789,200000,17.38,6,39126.67,2025-07-21
143,43307,50000,30.1,12,5420.83,2025-03-05
144,2510,50000,26.91,12,5287.92,2023-07-27
145,2510,50000,25.54,12,5230.83,2023-09-29
146,2510,200000,30.41,12,21735.0,2023-02-13
147,8183,50000,30.67,12,5444.58,2024-02-02
148,31487,50000,25.89,18,3496.94,2023-04-17
149,21951,300000,21.52,12,30380.0,2023-09-01
150,37573,100000,14.45,18,6358.33,2024-05-31
151,28272,500000,31.33,36,18240.28,2024-02-02
152,28272,200000,24.79,18,13865.56,2024-03-11
153,41122,200000,12.3,24,9358.33,2024-05-30
154,20674,50000,22.4,18,3400.0,2024-06-09
155,20674,300000,28.98,24,16122.5,2024-10-30
156,32876,500000,35.17,18,37547.22,2023-11-09
157,13527,500000,30.59,24,27206.25,2023-06-12
158,19500,500000,18.44,12,49350.0,2025-02-13
159,19500,50000,18.69,24,2472.71,2025-12-21
160,30879,300000,25.68,24,15710.0,2023-08-05
161,30879,300000,32.42,12,33105.0,2025-06-17
162,30879,200000,31.15,18,14572.22,2023-09-25
163,33191,500000,28.83,18,35786.11,2023-03-16
164,17476,500000,34.75,6,112291.67,2025-10-04
165,17476,300000,23.73,12,30932.5,2024-11-07
166,2217,300000,22.76,6,61380.0,2024-10-19
167,48440,100000,21.71,12,10142.5,2024-09-05
168,39221,500000,20.86,36,16786.11,2023-11-13
169,39221,300000,35.92,36,11326.67,2025-04-13
170,39221,300000,18.5,18,19750.0,2025-01-02
171,21161,100000,19.57,36,3321.39,2024-01-22
172,33787,100000,16.6,24,4858.33,2025-02-28
173,37902,500000,35.44,36,18811.11,2025-04-28
174,6251,50000,31.98,18,3666.11,2024-11-19
175,33342,100000,19.25,36,3312.5,2025-09-05
176,8043,50000,35.38,36,1880.28,2023-04-19
177,8043,100000,27.31,24,5304.58,2023-05-14
178,8043,50000,25.78,24,2620.42,2024-01-26
179,33218,200000,16.42,6,38806.67,2023-06-03
180,47775,300000,14.74,6,57370.0,2024-07-26
181,10382,50000,25.85,6,10487.5,2024-09-15
182,10382,500000,34.78,6,112316.67,2025-12-06
183,28796,50000,25.39,24,2612.29,2025-07-17
184,37002,500000,17.42,36,16308.33,2025-03-07
185,14072,300000,19.14,36,9928.33,2026-01-07
186,23557,200000,25.65,6,41883.33,2025-01-30
187,21499,50000,34.74,12,5614.17,2023-04-23
188,16346,200000,27.85,12,21308.33,2025-05-21
189,49061,500000,13.8,6,94833.33,2024-09-22
190,33041,500000,23.28,6,102733.33,2023-11-16
191,42773,200000,28.87,24,10739.17,2025-07-26
192,42773,100000,34.17,36,3726.94,2025-04-14
193,42773,100000,22.2,36,3394.44,2023-06-08
194,21271,100000,33.8,12,11150.0,2025-06-16
195,18341,100000,31.02,36,3639.44,2024-04-24
196,18341,500000,34.11,24,27939.58,2024-04-22
197,30613,200000,28.79,18,14310.0,2023-06-25
199,21009,200000,26.49,6,42163.33,2024-05-10
200,21009,500000,26.09,6,105075.0,2024-07-31
201,25266,200000,25.83,12,20971.67,2023-03-24
202,11806,300000,33.99,12,33497.5,2024-09-14
203,28031,300000,27.23,24,15903.75,2025-02-04
204,25090,300000,20.35,18,20058.33,2023-07-17
205,43942,50000,32.59,18,3683.06,2025-10-22
206,43942,300000,18.92,24,14865.0,2025-12-09
207,43942,500000,12.88,6,94066.67,2024-11-25
208,9633,200000,14.78,24,9565.0,2024-08-20
209,46232,50000,27.78,36,1774.72,2024-11-25
210,14081,50000,16.5,18,3236.11,2023-08-01
211,43539,300000,27.01,6,63505.0,2024-03-14
212,43539,500000,15.14,18,31983.33,2025-12-18
213,32335,300000,14.91,36,9575.83,2025-01-11
214,24394,100000,19.46,6,19910.0,2023-11-06
215,24394,50000,17.39,6,9782.5,2026-01-05
216,13943,50000,27.55,12,5314.58,2025-03-07
217,41405,200000,24.21,18,13801.11,2024-05-27
218,41405,300000,35.53,12,33882.5,2024-07-07
219,32639,100000,21.21,36,3366.94,2025-11-04
220,33179,100000,32.74,18,7374.44,2024-11-09
221,25828,300000,20.16,36,10013.33,2023-08-31
222,25828,50000,18.79,18,3299.72,2023-10-16
223,46624,500000,35.97,24,28327.08,2024-10-29
224,1608,300000,24.93,18,20821.67,2023-12-29
225,5624,500000,21.05,18,33625.0,2024-01-01
226,5624,100000,25.72,12,10476.67,2024-01-30
227,19055,300000,13.05,24,14131.25,2023-07-07
228,717,300000,21.27,12,30317.5,2023-04-26
229,11397,50000,15.03,36,1597.64,2025-11-28
230,44960,50000,32.98,24,2770.42,2023-09-02
231,44960,300000,12.37,12,28092.5,2025-06-15
232,7970,100000,13.8,18,6322.22,2025-10-17
233,41751,300000,27.6,18,21266.67,2025-03-26
234,35614,500000,21.12,18,33644.44,2023-06-25
235,43868,300000,32.94,6,66470.0,2024-09-26
236,43868,100000,27.15,18,7063.89,2025-08-23
237,43868,50000,22.42,6,10201.67,2024-02-11
238,46209,50000,22.65,18,3406.94,2024-10-23
239,46209,50000,19.78,6,9981.67,2025-04-24
240,46209,200000,22.34,12,20390.0,2025-11-30
241,47054,500000,28.36,12,53483.33,2024-11-25
242,37394,50000,26.63,24,2638.12,2023-12-15
243,8325,100000,23.94,36,3442.78,2025-08-20
244,8325,300000,27.31,24,15913.75,2025-05-13
245,9632,50000,33.57,24,2782.71,2025-08-24
246,14842,500000,15.79,24,24122.92,2023-08-31
247,14842,500000,19.18,24,24829.17,2024-01-03
248,14842,300000,32.29,12,33072.5,2024-11-14
249,49554,300000,14.56,24,14320.0,2024-02-04
251,44420,300000,18.59,36,9882.5,2024-01-02
252,45323,50000,33.85,24,2788.54,2023-03-03
253,45323,200000,30.62,12,21770.0,2024-02-16
254,20333,200000,17.26,12,19543.33,2025-12-03
255,47739,100000,27.08,6,21180.0,2024-09-15
256,24175,300000,12.8,18,18800.0,2024-05-03
257,24175,50000,33.83,18,3717.5,2023-01-23
258,24175,100000,16.82,36,3245.0,2023-01-27
259,18900,200000,24.74,18,13860.0,2025-09-01
260,4595,200000,33.94,24,11161.67,2023-08-12
261,4595,200000,29.92,18,14435.56,2024-02-18
262,4595,300000,35.11,12,33777.5,2024-07-08
263,47897,100000,32.64,24,5526.67,2025-03-06
265,9211,300000,20.85,18,20141.67,2024-07-08
266,9211,200000,14.6,12,19100.0,2023-09-29
267,1654,500000,33.22,36,18502.78,2023-06-27
268,23484,500000,17.31,6,97758.33,2024-01-18
269,27426,300000,33.83,18,22305.0,2024-04-14
270,39992,50000,15.35,6,9612.5,2025-06-23
271,44636,300000,14.79,12,28697.5,2025-10-01
272,32565,100000,21.33,18,6740.56,2023-04-03
273,46891,500000,22.06,12,50858.33,2024-04-03
274,40527,50000,32.01,36,1833.47,2024-08-30
275,42988,200000,12.79,18,12532.22,2023-11-27
276,49113,300000,34.81,18,22468.33,2025-04-28
277,47090,200000,25.07,18,13896.67,2025-07-15
278,37687,200000,16.56,6,38853.33,2023-09-25
279,37687,300000,14.2,12,28550.0,2023-05-21
280,13465,500000,35.31,6,112758.33,2023-03-06
281,38503,100000,35.73,36,3770.28,2024-08-26
282,42455,500000,16.97,12,48737.5,2024-10-18
283,4005,100000,19.89,12,9990.83,2024-03-26
284,45979,500000,12.07,12,46695.83,2023-04-26
285,47616,500000,18.02,12,49175.0,2025-10-12
286,6786,50000,15.16,18,3198.89,2023-07-31
287,48827,100000,26.13,6,21021.67,2024-05-09
288,43123,50000,15.04,24,2396.67,2025-07-14
289,722,50000,23.43,18,3428.61,2024-08-21
290,43478,50000,22.85,12,5118.75,2023-04-06
291,43478,50000,29.45,36,1797.92,2024-12-15
292,11464,50000,13.46,24,2363.75,2024-09-01
293,34853,300000,28.47,24,16058.75,2025-09-14
294,18252,300000,13.76,6,56880.0,2023-01-12
295,9258,100000,13.58,18,6310.0,2024-05-07
296,5037,500000,25.16,18,34766.67,2024-10-25
297,14371,500000,24.73,24,25985.42,2024-06-19
298,14371,300000,14.38,6,57190.0,2024-10-26
299,45651,500000,29.3,12,53875.0,2025-08-07
300,45651,100000,21.93,24,5080.42,2024-11-06
301,10227,50000,19.5,18,3319.44,2024-04-06
302,10227,200000,34.89,24,11240.83,2024-06-16
303,19589,50000,14.24,6,9520.0,2023-05-12
304,19589,200000,31.48,36,7304.44,2023-07-04
305,19589,500000,25.48,6,104566.67,2024-02-11
306,47383,300000,32.83,6,66415.0,2025-05-13
307,47383,500000,19.5,6,99583.33,2023-05-20
308,47383,100000,15.71,24,4821.25,2025-09-18
309,45153,50000,20.4,36,1672.22,2024-10-10
310,39682,200000,25.78,24,10481.67,2025-12-13
312,49502,200000,12.69,18,12521.11,2023-04-25
314,13169,500000,27.78,6,106483.33,2026-01-01
315,48997,50000,14.2,36,1586.11,2023-09-14
316,47453,300000,22.89,12,30722.5,2024-01-08
317,47453,200000,30.64,36,7257.78,2025-02-26
319,25128,300000,27.89,24,15986.25,2024-03-27
320,14189,300000,18.56,36,9880.0,2023-01-18
321,18007,300000,14.66,36,9555.0,2024-05-03
322,18007,200000,13.09,24,9424.17,2025-12-13
323,48560,50000,12.18,18,3116.11,2023-10-07
324,48560,100000,30.34,18,7241.11,2023-04-10
325,24059,50000,23.94,24,2582.08,2024-12-04
326,21141,300000,24.78,12,31195.0,2023-10-17
327,28337,200000,13.73,6,37910.0,2025-03-20
328,44885,300000,34.11,18,22351.67,2024-11-09
329,33621,500000,21.71,24,25356.25,2024-06-04
330,5152,300000,12.5,18,18750.0,2025-04-14
331,13593,500000,23.04,18,34177.78,2024-07-05
332,45393,50000,17.84,36,1636.67,2023-10-28
333,45393,50000,21.5,18,3375.0,2025-09-22
334,45393,100000,19.99,12,9999.17,2024-09-03
335,26162,50000,24.73,12,5197.08,2024-10-17
336,26162,200000,20.43,12,20071.67,2023-09-30
337,34831,100000,18.14,12,9845.0,2024-08-17
338,34831,50000,16.25,24,2421.88,2024-02-24
339,34534,500000,30.24,24,27133.33,2024-12-03
340,41419,500000,27.43,36,17698.61,2023-03-22
341,41419,200000,15.62,6,38540.0,2025-12-09
342,41419,200000,31.11,36,7283.89,2024-05-23
343,34112,500000,13.78,24,23704.17,2025-12-23
344,43583,50000,20.85,18,3356.94,2025-04-09
345,25983,50000,26.76,36,1760.56,2025-09-28
346,25983,500000,25.3,6,104416.67,2024-04-03
347,25983,500000,27.64,18,35455.56,2023-02-14
348,16738,500000,15.62,6,96350.0,2024-07-23
349,16738,200000,35.58,6,45193.33,2023-12-24
350,37467,100000,12.94,24,4705.83,2023-04-11
351,37467,500000,24.55,12,51895.83,2024-10-10
352,37467,200000,21.3,18,13477.78,2025-09-25
353,10821,50000,30.94,18,3637.22,2023-11-01
354,10821,50000,25.39,24,2612.29,2024-07-21
355,33592,500000,32.96,18,36933.33,2023-09-02
356,33592,100000,34.0,18,7444.44,2025-06-15
357,36936,300000,15.09,6,57545.0,2024-02-13
358,6096,300000,27.44,18,21240.0,2024-07-29
359,29490,500000,14.24,24,23800.0,2024-04-05
360,23096,50000,20.7,12,5029.17,2024-01-23
361,27700,200000,34.74,24,11228.33,2025-10-26
362,45842,100000,15.72,18,6428.89,2023-02-11
363,41166,50000,24.18,36,1724.72,2025-10-05
364,41166,500000,12.91,18,31363.89,2025-02-18
365,41945,500000,15.15,24,23989.58,2024-05-13
366,41945,100000,31.95,36,3665.28,2023-10-11
367,41945,100000,29.31,6,21551.67,2025-05-25
368,25904,100000,35.27,36,3757.5,2025-10-29
369,6551,300000,17.62,12,29405.0,2024-12-09
370,6551,300000,33.7,12,33425.0,2023-03-21
371,12842,500000,35.63,24,28256.25,2025-10-17
372,15713,300000,24.07,24,15508.75,2024-03-22
373,46050,100000,31.23,12,10935.83,2024-09-26
374,33252,50000,27.39,18,3538.61,2023-09-29
375,41630,50000,29.07,36,1792.64,2025-06-23
376,41630,200000,14.01,12,19001.67,2025-04-06
377,23030,500000,15.54,24,24070.83,2024-09-21
378,2101,100000,31.6,18,7311.11,2024-09-25
379,2101,300000,13.28,36,9440.0,2023-01-25
380,2101,300000,35.87,18,22645.0,2024-02-24
381,37077,200000,34.34,18,14926.67,2024-09-11
382,31714,100000,12.92,24,4705.0,2024-10-31
383,38620,100000,30.21,24,5425.42,2024-12-25
384,28357,50000,33.74,6,11145.0,2025-05-27
385,28357,100000,25.17,36,3476.94,2023-10-12
386,7095,50000,30.63,12,5442.92,2025-11-05
387,31616,50000,17.72,36,1635.0,2024-11-17
388,32061,50000,32.08,24,2751.67,2024-07-19
389,32061,50000,27.17,36,1766.25,2024-09-17
390,48419,100000,18.99,6,19831.67,2023-11-27
391,48419,100000,25.7,12,10475.0,2023-04-14
392,8630,50000,24.56,18,3460.0,2025-06-24
393,8630,500000,25.06,36,17369.44,2023-10-19
394,43428,300000,32.96,6,66480.0,2023-12-18
395,25162,200000,18.09,6,39363.33,2024-04-23
396,25162,50000,20.28,6,10023.33,2023-02-15
397,12897,200000,15.2,18,12800.0,2023-10-14
398,12897,100000,31.93,24,5497.08,2023-02-01
399,25872,300000,27.16,12,31790.0,2024-02-14
401,23509,50000,19.57,18,3321.39,2025-03-12
402,24898,500000,23.36,6,102800.0,2024-06-11
403,24898,100000,18.87,6,19811.67,2023-08-15
404,11010,200000,18.56,18,13173.33,2023-07-11
405,11010,300000,29.84,24,16230.0,2023-05-17
406,1069,100000,23.91,24,5162.92,2025-03-29
407,8181,500000,18.4,6,98666.67,2025-08-24
408,16810,50000,22.33,12,5097.08,2023-11-24
409,9830,200000,14.46,18,12717.78,2025-09-14
410,739,200000,22.7,24,10225.0,2023-06-10
411,46756,300000,20.44,6,60220.0,2025-08-29
412,15353,200000,26.76,24,10563.33,2023-08-20
413,15353,50000,13.8,24,2370.83,2024-08-01
414,2198,100000,34.87,12,11239.17,2023-08-17
415,4297,300000,12.84,6,56420.0,2025-03-30
417,8618,300000,34.77,18,22461.67,2024-09-25
418,8618,50000,25.77,36,1746.81,2024-05-26
419,8618,200000,27.59,12,21265.0,2025-02-24
420,46486,50000,29.66,24,2701.25,2025-11-23
421,12752,500000,14.83,18,31897.22,2025-02-11
422,28634,100000,35.91,18,7550.56,2024-03-23
423,36596,300000,16.8,12,29200.0,2025-08-24
424,36596,300000,16.14,24,14517.5,2024-09-20
425,35321,200000,28.03,6,42676.67,2025-12-19
426,38604,200000,33.39,12,22231.67,2023-05-09
427,23282,100000,31.05,36,3640.28,2024-03-03
428,25235,100000,31.01,12,10917.5,2023-11-27
429,34933,50000,20.66,36,1675.83,2023-06-10
430,34933,500000,15.11,6,95925.0,2023-03-27
431,40346,300000,35.99,24,16998.75,2023-04-08
432,30334,300000,31.76,6,65880.0,2023-08-22
433,8953,200000,27.42,24,10618.33,2024-02-05
434,33987,500000,20.27,36,16704.17,2025-03-05
435,33987,100000,30.43,12,10869.17,2025-04-24
436,23840,50000,31.95,36,1832.64,2024-06-19
437,20828,100000,15.89,12,9657.5,2024-10-09
438,1220,500000,33.48,6,111233.33,2024-11-23
439,15383,500000,18.59,18,32941.67,2023-02-22
440,15383,50000,24.06,12,5169.17,2024-05-31
441,46478,500000,15.7,36,16069.44,2025-06-20
443,1583,50000,13.09,36,1570.69,2024-11-05
444,1583,100000,30.41,24,5433.75,2023-06-24
445,14740,50000,23.95,36,1721.53,2023-05-13
446,19561,200000,23.59,24,10299.17,2024-12-02
447,48224,50000,28.53,12,5355.42,2025-03-26
448,49964,300000,23.15,18,20525.0,2025-01-27
449,49964,200000,32.68,18,14742.22,2024-05-20
450,40451,200000,35.41,12,22568.33,2024-06-21
451,40451,500000,25.48,18,34855.56,2025-02-24
452,40451,50000,18.42,12,4934.17,2024-12-13
453,17557,50000,18.97,24,2478.54,2024-12-02
454,1513,300000,17.96,12,29490.0,2025-08-30
455,46119,500000,29.31,12,53879.17,2025-07-28
456,29912,300000,35.9,24,16987.5,2023-03-24
457,44292,200000,23.94,6,41313.33,2024-01-16
458,31289,500000,22.97,12,51237.5,2025-01-07
459,11289,200000,13.17,18,12574.44,2023-11-21
460,11289,300000,18.86,6,59430.0,2023-10-24
461,43844,300000,15.21,18,19201.67,2024-08-30
462,45248,300000,20.78,24,15097.5,2023-08-21
463,33614,500000,16.67,36,16204.17,2024-04-01
464,23023,300000,24.1,36,10341.67,2023-11-08
465,15547,500000,28.33,6,106941.67,2025-09-10
466,26086,50000,21.45,18,3373.61,2024-08-07
467,35392,200000,30.12,12,21686.67,2023-06-01
469,43644,300000,24.46,12,31115.0,2025-06-20
470,47241,500000,15.35,36,16020.83,2024-08-25
471,9354,300000,35.77,18,22628.33,2024-12-18
472,8493,500000,31.88,36,18316.67,2023-09-07
473,1896,500000,19.19,6,99325.0,2025-08-10
474,2303,50000,35.52,36,1882.22,2024-09-10
475,48282,50000,26.33,18,3509.17,2023-02-11
476,45341,500000,25.86,6,104883.33,2023-03-12
477,10547,100000,24.58,36,3460.56,2024-11-10
479,2684,50000,16.58,24,2428.75,2024-10-17
480,2684,100000,21.91,12,10159.17,2024-12-08
481,2684,500000,34.09,6,111741.67,2023-03-17
482,11836,500000,16.98,18,32494.44,2025-08-13
483,43818,300000,24.61,18,20768.33,2025-01-13
484,43818,300000,33.89,18,22315.0,2024-02-27
485,47582,200000,26.64,12,21106.67,2025-03-03
486,12634,200000,25.39,12,20898.33,2025-01-10
487,648,200000,30.51,12,21751.67,2023-07-26
488,22683,300000,19.61,18,19935.0,2024-10-22
489,48716,200000,18.91,36,6606.11,2023-11-08
490,48716,300000,33.5,24,16687.5,2025-03-16
491,48716,100000,18.97,18,6609.44,2025-11-19
492,11408,50000,20.31,24,2506.46,2024-02-26
493,11408,300000,17.14,36,9761.67,2024-05-31
494,26489,500000,28.71,12,53629.17,2024-09-09
495,26489,500000,17.74,6,98116.67,2023-02-11
496,13073,500000,17.42,12,48925.0,2023-07-25
497,26743,300000,19.93,24,14991.25,2024-11-04
498,26743,100000,12.12,36,3114.44,2023-11-14
499,26743,100000,21.77,24,5073.75,2024-03-09
500,38766,100000,30.14,18,7230.0,2023-02-16
501,16974,50000,33.79,6,11149.17,2023-10-13
502,16974,100000,24.84,6,20806.67,2023-08-24
503,16974,100000,22.03,12,10169.17,2023-08-29
504,15567,50000,35.93,24,2831.88,2024-01-10
505,41712,100000,34.48,18,7471.11,2026-01-07
506,29819,50000,19.16,36,1655.0,2025-02-28
507,29819,200000,18.83,36,6601.67,2024-03-17
508,40817,100000,32.43,24,5517.92,2025-10-23
509,21693,50000,19.94,24,2498.75,2025-08-31
510,17541,100000,12.34,18,6241.11,2023-03-28
511,17541,500000,28.19,12,53412.5,2024-03-12
512,35426,300000,31.85,36,10987.5,2025-04-06
513,39047,300000,28.06,12,32015.0,2024-12-02
515,8575,300000,30.09,18,21681.67,2025-07-15
516,40997,500000,12.27,18,31186.11,2024-07-30
517,49609,50000,28.03,24,2667.29,2025-11-17
518,10223,300000,28.47,18,21411.67,2023-08-17
519,43655,200000,20.82,12,20136.67,2023-03-17
520,43655,100000,23.48,24,5145.0,2024-04-16
521,25017,500000,20.97,36,16801.39,2024-02-28
522,10358,500000,31.25,12,54687.5,2025-05-31
523,46816,500000,32.96,6,110800.0,2025-12-10
524,46816,500000,28.89,6,107408.33,2025-01-21
525,46816,50000,13.48,36,1576.11,2023-08-08
526,18094,100000,25.74,12,10478.33,2024-10-31
527,42548,500000,22.6,12,51083.33,2024-08-15
528,35458,300000,14.18,36,9515.0,2023-08-05
529,45272,50000,22.88,36,1706.67,2023-09-24
530,5368,500000,13.39,24,23622.92,2025-03-09
531,48013,200000,29.36,24,10780.0,2024-01-09
532,48013,50000,29.9,36,1804.17,2025-12-10
533,18772,300000,20.27,6,60135.0,2023-01-22
534,888,50000,34.43,6,11202.5,2025-08-25
535,31025,300000,12.76,24,14095.0,2023-08-29
536,38871,100000,30.38,24,5432.5,2024-09-18
537,46520,300000,22.76,24,15345.0,2023-05-28
538,8840,500000,15.19,18,31997.22,2023-11-23
539,2634,500000,21.43,12,50595.83,2025-12-16
540,39854,100000,32.04,6,22006.67,2023-04-04
541,39854,300000,28.16,36,10680.0,2023-10-12
542,31833,300000,31.76,12,32940.0,2023-02-23
544,31833,500000,30.39,6,108658.33,2025-08-10
545,27086,50000,14.42,6,9535.0,2024-10-06
546,33404,50000,17.87,6,9822.5,2024-10-07
547,49944,100000,24.95,6,20825.0,2025-03-27
548,49944,200000,17.62,36,6534.44,2023-12-14
549,49944,500000,30.54,18,36261.11,2025-01-20
550,39340,100000,35.66,36,3768.33,2023-01-19
551,20336,200000,18.6,36,6588.89,2024-10-13
552,42753,100000,27.02,24,5292.5,2024-03-03
553,6183,50000,35.33,24,2819.38,2024-03-04
