loan_id,months_paid,default_flag,default_month,recovered_amount
216,15,0,,79718.7
217,14,0,,193215.54
218,13,0,,440472.5
219,20,0,,67338.8
220,8,0,,58995.52
221,33,0,,330439.89
222,24,0,,79193.28
223,14,1,14.0,328232.86
224,2,1,2.0,36261.33
225,16,0,,538000.0
226,9,0,,94290.03
227,29,0,,409806.25
228,4,0,,121270.0
229,4,1,4.0,5395.23
230,3,0,,8311.26
231,11,0,,309017.5
232,12,0,,75866.64
233,20,0,,425333.4
234,20,0,,672888.8
235,2,0,,132940.0
236,7,0,,49447.23
237,12,0,,122420.04
238,10,0,,34069.4
239,10,0,,99816.7
240,11,0,,224290.0
241,14,0,,748766.62
242,11,0,,29019.32
243,8,0,,27542.24
244,29,0,,461498.75
245,17,0,,47306.07
246,30,0,,723687.6
247,19,0,,471754.23
248,14,0,,463015.0
249,21,0,,300720.0
250,14,1,14.0,795233.47
251,26,1,26.0,123170.24
252,11,0,,30673.94
253,4,0,,87080.0
254,15,0,,293149.95
255,6,0,,127080.0
256,24,0,,451200.0
257,4,1,4.0,11153.86
258,37,0,,120065.0
259,22,0,,304920.0
260,23,0,,256718.41
261,14,0,,202097.84
262,13,0,,439107.5
263,9,1,9.0,18745.81
264,27,0,,1565892.0
265,13,0,,261841.71
266,1,0,,19100.0
267,23,0,,425563.94
268,11,0,,1075341.63
269,12,0,,267660.0
270,3,0,,28837.5
271,1,0,,28697.5
272,6,0,,40443.36
273,18,0,,915449.94
274,33,0,,90756.76
275,9,0,,112789.98
276,11,0,,247151.63
277,3,1,3.0,14107.01
278,4,0,,155413.32
279,6,0,,171300.0
280,7,0,,789308.31
281,28,0,,105567.84
282,11,1,11.0,214667.28
283,6,0,,59944.98
284,8,0,,373566.64
285,18,0,,885150.0
286,8,0,,25591.12
287,3,0,,63065.01
288,10,0,,23966.7
289,9,0,,30857.49
290,5,0,,25593.75
291,3,0,,5393.76
292,27,0,,63821.25
293,24,0,,385410.0
294,11,0,,625680.0
295,22,0,,138820.0
296,1,1,1.0,25470.02
297,22,0,,571679.24
298,4,0,,228760.0
299,3,0,,161625.0
300,13,0,,66045.46
301,2,0,,6638.88
302,11,1,11.0,64510.83
303,5,0,,47600.0
304,25,0,,182611.0
305,4,0,,418266.68
306,10,1,10.0,341052.38
307,3,0,,298749.99
308,8,0,,38570.0
309,7,0,,11705.54
310,19,0,,199151.73
311,4,0,,203727.36
312,17,0,,212858.87
313,8,0,,334381.28
314,8,0,,851866.64
315,1,0,,1586.11
316,14,0,,430115.0
317,15,0,,108866.7
318,35,0,,91270.9
319,3,0,,47958.75
320,29,1,29.0,254628.83
321,32,0,,305760.0
322,2,0,,18848.34
323,5,0,,15580.55
324,8,0,,57928.88
325,24,0,,61969.92
326,9,0,,280755.0
327,1,0,,37910.0
328,22,0,,491736.74
329,6,0,,152137.5
330,16,0,,300000.0
331,20,0,,683555.6
332,24,0,,39280.08
333,4,1,4.0,11101.37
334,17,0,,169985.89
335,12,1,12.0,31827.37
336,8,0,,160573.36
337,3,1,3.0,10154.67
338,18,1,18.0,32073.49
339,24,0,,651199.92
340,5,0,,88493.05
341,11,1,11.0,150410.32
342,35,0,,254936.15
343,12,0,,284450.04
344,9,0,,30212.46
345,6,0,,10563.36
346,2,0,,208833.34
347,16,0,,567288.96
348,3,1,3.0,222760.99
349,5,1,5.0,213068.04
350,8,0,,37646.64
351,10,1,10.0,184558.48
352,8,0,,107822.24
353,17,1,17.0,48798.88
354,13,0,,33959.77
355,7,0,,258533.31
356,11,0,,81888.84
357,3,0,,172635.0
358,12,0,,254880.0
359,3,0,,71400.0
360,3,0,,15087.51
361,10,0,,112283.3
362,10,0,,96433.35
363,1,0,,1724.72
364,8,0,,250911.12
365,17,0,,407822.86
366,28,0,,102627.84
367,1,0,,21551.67
368,2,0,,7515.0
369,4,1,4.0,101311.35
370,3,0,,100275.0
371,21,0,,593381.25
372,26,1,26.0,343635.19
373,11,1,11.0,60059.2
374,22,0,,77849.42
375,11,0,,19719.04
376,18,0,,342030.06
377,2,0,,72212.49
378,19,0,,138911.09
379,35,0,,330400.0
380,4,0,,90580.0
381,20,0,,298533.4
382,19,0,,89395.0
383,11,0,,59679.62
384,2,0,,22290.0
385,39,0,,135600.66
386,18,0,,97972.56
387,40,0,,65400.0
388,21,0,,57785.07
389,16,1,16.0,13637.94
390,3,0,,59495.01
391,8,0,,83800.0
392,15,0,,51900.0
393,12,0,,208433.28
394,8,1,8.0,425196.27
395,8,1,8.0,140242.04
396,4,0,,40093.32
397,7,1,7.0,79295.08
398,7,0,,38479.56
399,1,0,,31790.0
400,6,0,,304668.36
401,3,0,,9964.17
402,7,0,,719600.0
403,11,1,11.0,162526.44
404,5,0,,65866.65
405,23,0,,373290.0
406,1,1,1.0,1852.98
407,12,0,,1184000.04
408,7,0,,53519.34
409,18,0,,228920.04
410,29,0,,296525.0
411,7,0,,421540.0
412,4,0,,42253.32
413,1,1,1.0,2029.24
414,11,1,11.0,103435.97
415,10,0,,564200.0
416,16,0,,185611.2
417,4,0,,89846.68
418,41,0,,71619.21
419,10,1,10.0,141431.17
420,5,0,,13506.25
421,8,0,,382766.64
422,7,0,,52853.92
423,3,0,,87600.0
424,27,0,,391972.5
425,9,0,,384090.03
426,14,0,,311243.38
427,29,0,,105568.12
428,9,0,,98257.5
429,33,0,,55302.39
430,3,0,,287775.0
431,6,1,6.0,89403.91
432,4,0,,263520.0
433,17,0,,180511.61
434,8,0,,133633.36
435,7,1,7.0,54689.67
436,16,1,16.0,26130.5
437,10,0,,96575.0
438,3,0,,333699.99
439,6,0,,197650.02
440,16,0,,82706.72
441,38,0,,610638.72
442,19,0,,886033.84
443,40,0,,94241.4
444,23,0,,124976.25
445,3,0,,5164.59
446,25,0,,257479.25
447,6,0,,32132.52
448,9,0,,184725.0
449,10,1,10.0,121428.25
450,13,0,,293388.29
451,13,1,13.0,334961.11
452,5,0,,24670.85
453,27,0,,100380.87
454,17,0,,501330.0
455,2,0,,107758.34
456,9,1,9.0,128891.9
457,10,0,,413133.3
458,11,0,,563612.5
459,10,1,10.0,75273.12
460,2,1,2.0,40867.55
461,6,0,,115210.02
462,3,1,3.0,30517.3
463,23,0,,372695.91
464,21,0,,217175.07
465,3,0,,320825.01
466,1,1,1.0,1912.16
467,13,0,,281926.71
468,6,1,6.0,401239.82
469,10,0,,311150.0
470,28,0,,448583.24
471,20,0,,452566.6
472,15,0,,274750.05
473,10,0,,993250.0
474,30,0,,56466.6
475,22,1,22.0,32529.36
476,12,0,,1258599.96
477,5,0,,17302.8
478,1,0,,84418.17
479,29,0,,70433.75
480,8,0,,81273.36
481,3,0,,335225.01
482,6,0,,194966.64
483,23,0,,477671.59
484,21,0,,468615.0
485,15,0,,316600.05
486,5,0,,104491.65
487,17,1,17.0,188998.85
488,24,0,,478440.0
489,33,0,,218001.63
490,23,0,,383812.5
491,23,1,23.0,100463.26
492,1,0,,2506.46
493,3,0,,29285.01
494,1,0,,53629.17
495,3,0,,294350.01
496,11,0,,538175.0
497,22,0,,329807.5
498,39,0,,121463.16
499,17,0,,86253.75
500,1,0,,7230.0
501,2,0,,22298.34
502,10,1,10.0,86282.89
503,9,1,9.0,46429.95
504,29,0,,82124.52
505,15,0,,168099.97
506,16,0,,26480.0
507,25,0,,165041.75
508,25,0,,137948.0
509,15,0,,37481.25
510,13,0,,81134.43
511,5,0,,267062.5
512,1,0,,10987.5
513,15,0,,480225.0
514,13,0,,807839.63
515,1,0,,21681.67
516,23,0,,717280.53
517,4,1,4.0,4650.71
518,18,0,,385410.06
519,9,0,,181230.03
520,21,1,21.0,142715.51
521,32,0,,537644.48
522,12,0,,656250.0
523,4,0,,443200.0
524,6,0,,644449.98
525,12,0,,28369.98
526,5,0,,52391.65
527,14,1,14.0,376825.91
528,39,0,,371085.0
529,5,0,,8533.35
530,24,0,,566950.08
531,9,0,,97020.0
532,16,0,,28866.72
533,1,0,,60135.0
534,12,0,,134430.0
535,4,1,4.0,37394.6
536,22,0,,119515.0
537,20,0,,306900.0
538,22,0,,703938.84
539,13,0,,657745.79
540,8,0,,176053.36
541,41,0,,437880.0
542,12,0,,395280.0
543,2,1,2.0,72922.67
544,8,0,,869266.64
545,6,0,,57210.0
546,5,0,,49112.5
547,3,0,,62475.0
548,3,0,,19603.32
549,11,1,11.0,276987.15
550,5,0,,18841.65
551,27,0,,177900.03
552,10,1,10.0,37457.75
553,7,0,,19735.66
554,11,0,,117984.13
555,34,0,,329828.22
556,16,0,,158960.0
557,14,0,,36604.12
558,12,0,,80880.0
559,5,0,,18629.15
560,6,1,6.0,33163.69
561,5,0,,705937.5
562,39,0,,700808.16
563,12,0,,88580.04
564,1,1,1.0,3155.92
565,29,1,29.0,50834.5
566,21,0,,563893.68
567,10,1,10.0,212795.99
568,7,0,,248052.77
569,21,0,,582706.32
570,15,0,,325699.95
571,5,1,5.0,151184.2
572,3,0,,64895.01
573,23,0,,603270.91
574,30,0,,149900.1
575,18,0,,123980.04
576,5,1,5.0,43299.03
577,38,1,38.0,119818.1
578,4,0,,452566.68
579,9,0,,101009.97
580,8,0,,230600.0
581,13,0,,40523.86
582,3,0,,5284.59
583,34,0,,318410.0
584,12,0,,37466.64
585,9,0,,84307.5
586,12,0,,229140.0
587,7,0,,34011.29
588,15,0,,148024.95
589,10,0,,307550.0
590,6,0,,119200.02
591,5,0,,11900.0
592,10,0,,566750.0
593,5,0,,12916.65
594,5,0,,209300.0
595,9,0,,22033.08
596,14,0,,52181.08
597,10,0,,798687.45
598,13,0,,243490.0
599,12,0,,268580.04
600,28,0,,146533.24
601,18,0,,899699.94
602,10,0,,34450.0
603,11,0,,646635.0
604,10,1,10.0,96171.24
605,21,0,,262989.93
606,19,1,19.0,325660.79
607,42,0,,428260.14
608,10,0,,36258.3
609,13,1,13.0,30243.44
610,7,0,,50458.31
611,6,1,6.0,11137.99
612,7,0,,267050.0
613,30,0,,313425.0
614,3,0,,4756.26
615,2,0,,115605.48
616,12,0,,21566.64
617,13,0,,136207.5
618,2,0,,12814.44
619,2,0,,9460.0
620,4,1,4.0,84191.79
621,7,0,,37712.5
622,9,0,,92242.53
623,30,0,,299925.0
624,28,1,28.0,133633.14
625,22,0,,704427.68
626,18,0,,185250.06
627,16,1,16.0,139206.08
628,20,0,,133133.4
629,12,0,,120759.96
630,42,0,,1757957.88
631,9,0,,61260.03
632,5,0,,13714.6
633,12,0,,127200.0
634,18,0,,96877.44
635,10,0,,257291.7
636,24,1,24.0,398492.17
637,4,0,,420833.32
638,3,0,,21296.67
639,26,0,,612408.42
640,10,0,,112650.0
641,32,1,32.0,23720.41
642,27,0,,472237.56
643,11,0,,74182.79
644,4,0,,120280.02
645,8,0,,325280.0
646,18,0,,120360.06
647,6,0,,41503.32
648,17,1,17.0,109996.62
649,1,0,,113896.37
650,16,0,,85500.0
651,12,0,,41460.0
652,5,0,,127322.9
653,16,0,,508440.0
654,26,0,,263228.42
655,3,0,,86242.17
656,10,0,,433533.3
657,14,0,,453016.62
658,16,0,,39433.28
659,35,0,,245641.55
660,13,0,,32594.77
661,12,0,,89366.64
662,6,1,6.0,44629.73
663,18,0,,181440.0
664,19,0,,199990.77
665,7,0,,24048.92
666,24,0,,125320.08
667,5,0,,24906.25
668,16,1,16.0,121402.24
669,41,0,,461694.03
670,3,0,,48161.25
671,6,0,,371190.0
672,14,0,,92563.38
673,6,0,,58020.0
674,5,1,5.0,184932.93
675,10,0,,145111.1
676,13,0,,35273.29
677,1,0,,28615.0
678,12,0,,40929.96
679,7,0,,71481.69
680,2,0,,6502.22
681,7,1,7.0,162866.76
682,9,1,9.0,68791.67
683,15,0,,247395.9
684,4,0,,52862.24
685,8,0,,904333.36
686,5,0,,111708.35
687,14,0,,150301.62
688,14,0,,153860.0
689,28,0,,741883.24
690,1,0,,10600.83
691,19,0,,271636.73
692,12,0,,719100.0
693,25,0,,67468.75
694,20,0,,147111.2
695,9,1,9.0,103748.14
696,31,1,31.0,163098.19
697,9,0,,1437071.13
698,9,0,,252877.5
699,29,0,,123068.9
700,12,0,,88779.96
701,23,0,,291946.59
702,5,0,,106625.0
703,11,1,11.0,188509.99
704,3,0,,32222.49
705,9,0,,43192.53
706,10,0,,187033.3
707,26,0,,418145.0
708,4,0,,228280.0
709,16,0,,355040.0
710,7,1,7.0,49703.27
711,8,1,8.0,140180.27
712,5,0,,52945.85
713,6,1,6.0,185921.14
714,9,1,9.0,35533.55
715,13,0,,195715.0
716,7,0,,137608.31
717,39,0,,684666.84
718,4,1,4.0,8413.81
719,25,0,,647031.25
720,3,0,,16351.26
721,36,0,,58894.92
722,4,0,,15076.68
723,6,1,6.0,84045.3
724,4,0,,648093.66
725,9,0,,351540.0
726,27,0,,279360.09
727,8,0,,515360.0
728,9,0,,316974.96
729,2,0,,10355.84
730,26,0,,135275.92
731,24,1,24.0,44772.33
732,7,0,,132288.31
733,6,0,,10240.02
734,13,1,13.0,86512.46
735,3,0,,20651.67
736,15,0,,290025.0
737,11,0,,475163.37
738,24,1,24.0,50366.23
739,12,1,12.0,10747.11
740,5,0,,102433.35
741,5,0,,241687.5
742,8,0,,88973.36
743,8,0,,747066.64
744,13,0,,392405.0
745,20,0,,52195.8
746,4,1,4.0,14283.53
747,1,1,1.0,8997.86
748,19,0,,30690.32
749,21,0,,298331.25
750,42,0,,279673.38
751,14,0,,90860.0
752,19,0,,621827.82
753,3,0,,101962.5
754,1,0,,81406.24
755,19,0,,178235.77
756,4,0,,44940.0
757,18,0,,397139.94
758,2,0,,56495.84
759,5,0,,28195.85
760,3,0,,14131.26
761,15,0,,507958.35
762,6,0,,10495.02
763,10,0,,94833.3
764,15,0,,98066.7
765,3,0,,64410.0
766,17,0,,333228.39
767,11,0,,1050683.37
768,7,0,,418390.0
769,24,0,,122850.0
770,18,0,,57085.02
771,12,0,,376566.72
772,21,0,,118335.0
773,8,0,,332110.64
774,36,0,,376020.0
775,12,0,,343350.0
776,13,0,,71462.04
777,6,0,,362790.0
778,2,0,,142660.54
779,11,0,,722810.0
780,22,0,,210723.26
781,20,0,,510000.0
782,5,0,,160500.0
783,19,0,,93891.73
784,37,0,,65130.36
785,25,1,25.0,151009.65
786,9,0,,44516.25
787,33,0,,540741.63
788,13,0,,283335.0
789,30,0,,300650.1
790,3,0,,177735.0
791,20,0,,125222.2
792,28,0,,290990.0
793,17,0,,243099.91
794,14,0,,76031.62
795,15,0,,451950.0
796,3,0,,99691.68
797,12,0,,42960.0
798,13,0,,625137.5
799,12,1,12.0,189166.73
800,37,0,,58249.47
801,15,0,,514458.3
802,10,0,,72972.2
803,17,0,,321385.0
804,3,0,,10881.66
805,16,0,,40323.36
806,7,0,,139113.31
807,14,1,14.0,106194.12
808,6,0,,21495.0
809,17,1,17.0,706912.32
810,17,0,,114353.39
811,14,0,,26205.34
812,13,0,,203630.57
813,2,0,,32583.34
814,10,0,,576900.0
815,4,0,,154706.68
816,10,0,,136355.6
817,4,0,,60205.02
818,12,1,12.0,30328.46
819,4,0,,61915.0
820,21,0,,300378.75
821,4,0,,212700.0
822,8,1,8.0,34755.2
823,11,0,,433656.63
824,3,0,,33327.51
825,4,0,,448666.68
826,4,0,,444800.0
827,23,0,,121305.91
828,17,0,,84964.64
829,7,0,,125737.5
830,4,0,,374521.32
831,13,0,,408940.09
832,12,0,,2169493.56
833,22,0,,248325.0
834,28,0,,305293.24
835,16,0,,101502.24
836,23,0,,340527.88
837,23,0,,56695.0
838,4,0,,83693.32
839,19,0,,60198.27
840,9,0,,101475.0
841,4,0,,7343.32
842,24,0,,642450.0
843,10,0,,205716.7
844,22,0,,37904.24
845,29,0,,698054.07
846,11,0,,124052.5
847,30,0,,427050.0
848,14,0,,102682.16
849,28,0,,44368.24
850,17,0,,125195.48
851,21,0,,38173.38
852,9,0,,258075.0
853,2,0,,209966.66
854,4,0,,145233.32
855,6,0,,88713.36
856,17,1,17.0,424760.71
857,20,0,,299592.0
858,12,0,,514280.04
859,9,0,,400590.0
860,30,0,,298650.0
861,6,0,,33835.02
862,16,0,,348213.28
863,10,0,,948900.0
864,3,0,,16740.0
865,3,0,,332025.0
866,38,0,,119879.36
867,11,0,,1830125.05
868,13,0,,225498.65
869,7,0,,100263.31
870,9,1,9.0,490906.06
871,6,0,,20156.64
872,16,0,,336240.0
873,8,0,,346613.36
874,32,0,,301840.0
875,15,0,,165712.5
876,17,0,,321920.5
877,12,1,12.0,51561.03
878,8,0,,437400.0
879,17,0,,243874.52
880,27,0,,446985.0
881,39,0,,387562.5
882,8,0,,504120.0
883,33,0,,230028.48
884,21,0,,224752.5
885,8,0,,113217.76
886,8,0,,51786.64
887,42,0,,76609.26
888,1,0,,42780.0
889,12,0,,118230.0
890,30,0,,52495.8
891,3,0,,64719.99
892,7,0,,156053.31
893,36,0,,132180.12
894,6,0,,20550.0
895,5,0,,271479.15
896,14,1,14.0,153829.31
897,16,0,,217048.96
898,10,0,,992166.7
899,6,0,,104941.68
900,2,0,,10334.16
901,14,0,,396550.0
902,13,0,,43412.72
903,16,0,,461760.0
904,9,0,,269955.0
905,7,0,,21799.19
906,3,0,,31457.49
907,8,0,,19184.96
908,30,0,,458625.0
909,5,0,,17334.7
910,11,0,,79542.21
911,12,1,12.0,44820.78
912,10,0,,398300.0
913,12,0,,1193499.96
914,14,0,,157220.0
915,25,0,,648854.25
916,23,0,,172830.51
917,21,0,,186338.67
918,7,0,,136581.69
919,2,0,,38320.0
920,34,0,,737589.54
921,4,1,4.0,42405.97
922,4,0,,40376.68
923,6,0,,116929.98
924,3,0,,10658.34
925,4,1,4.0,56081.77
926,8,1,8.0,418235.3
927,9,0,,262732.5
928,1,0,,37597.22
929,18,0,,115849.98
930,12,0,,64260.0
931,9,0,,84232.53
932,18,0,,960449.94
933,1,0,,94833.33
934,12,0,,81973.32
935,1,1,1.0,1755.11
936,21,0,,281516.76
937,5,1,5.0,41143.83
938,13,1,13.0,36912.56
939,10,0,,443600.0
940,5,1,5.0,22069.68
941,9,0,,133335.0
942,7,0,,229600.0
943,10,0,,56483.3
944,36,1,36.0,385762.71
945,11,0,,77409.42
946,5,0,,25747.9
947,11,0,,674190.0
948,37,1,37.0,175915.07
949,2,0,,107808.34
950,27,0,,186689.88
951,29,0,,149313.75
952,16,0,,296466.72
953,15,0,,77581.2
954,7,1,7.0,24740.4
955,11,0,,496026.63
956,21,1,21.0,332239.83
957,40,0,,68344.4
958,6,0,,368190.0
959,16,0,,88654.88
960,18,0,,32749.92
961,23,0,,601354.09
962,9,1,9.0,150039.76
963,3,0,,20906.67
964,5,0,,215300.0
965,7,0,,43575.0
966,17,0,,236375.48
967,23,0,,63983.24
968,17,0,,162307.5
969,1,0,,2798.54
970,2,0,,43066.66
971,2,0,,3728.88
972,27,0,,276704.91
973,11,1,11.0,93241.11
974,9,1,9.0,11810.52
975,8,0,,268360.0
976,8,1,8.0,42621.55
977,11,0,,386680.58
978,35,0,,355979.05
979,23,0,,151506.06
980,2,0,,65660.0
981,42,0,,695158.38
982,15,0,,794875.05
983,10,0,,214133.3
984,19,0,,196475.86
985,32,0,,223093.44
986,2,1,2.0,17208.07
987,13,0,,142350.0
988,8,0,,461960.0
989,22,1,22.0,100492.12
990,3,0,,10714.17
991,4,0,,93983.32
992,28,0,,516288.92
993,13,0,,472405.57
994,27,0,,75510.09
995,12,0,,1014937.8
996,6,1,6.0,53188.16
997,19,0,,137348.91
998,7,0,,76200.81
999,10,0,,226000.0
1000,1,0,,21606.67
1001,15,0,,296749.95
1002,9,0,,992250.0
1003,6,0,,37653.36
1004,16,0,,587733.28
1005,1,0,,104333.33
1006,8,0,,166146.64
1007,4,0,,64344.44
1008,9,1,9.0,21026.1
1009,3,0,,60330.0
1010,12,0,,207883.32
1011,12,0,,38250.0
1012,2,1,2.0,63665.25
1013,6,0,,242299.98
1014,1,1,1.0,95143.28
1015,4,0,,27631.12
1016,5,0,,24814.6
1017,4,0,,22460.0
1018,2,0,,208000.0
1019,28,0,,154886.76
1020,28,0,,145728.24
1021,7,1,7.0,58733.19
1022,6,0,,57049.98
1023,9,0,,62694.99
1024,2,1,2.0,12753.17
1025,7,0,,156961.88
1026,4,0,,62300.0
1027,2,1,2.0,82470.13
1028,21,1,21.0,219228.93
1029,21,0,,228147.57
1030,1,0,,1713.61
1031,35,0,,382433.45
1032,12,1,12.0,46109.37
1033,6,0,,15660.0
1034,28,0,,43602.16
1035,19,0,,711075.0
1036,21,0,,136593.24
1037,19,0,,123816.73
1038,32,0,,113866.56
1039,8,0,,136744.48
1040,5,0,,24587.5
1041,10,1,10.0,161411.37
1042,13,0,,41311.14
1043,5,1,5.0,20721.36
1044,8,1,8.0,79355.51
1045,1,0,,10948.33
1046,15,0,,294775.05
1047,7,0,,138413.31
1048,9,0,,99802.53
1049,1,0,,41230.0
1050,13,0,,411558.29
1051,15,1,15.0,117097.03
1052,9,0,,97094.97
1053,30,0,,54791.7
1054,12,0,,1171100.04
1055,33,0,,917537.45
1056,6,0,,90585.0
1057,10,0,,360000.0
1058,13,0,,336510.46
1059,38,0,,67502.82
1060,10,0,,480708.3
1061,18,1,18.0,820176.78
1062,11,0,,739970.0
1063,12,0,,235119.96
1064,1,0,,1778.47
1065,27,1,27.0,223576.1
1066,10,0,,37647.2
1067,22,0,,777394.42
1068,27,0,,188835.03
1069,10,0,,603850.0
1070,1,0,,33835.0
1071,5,0,,73116.65
1072,1,0,,66645.0
1073,16,0,,163413.28
1074,10,0,,195133.3
1075,10,0,,1076833.3
1076,11,0,,723085.0
1077,25,0,,385937.62
1078,6,0,,337620.0
1079,16,0,,607262.88
1080,3,0,,14498.76
1081,35,0,,368608.45
1082,7,0,,235777.5
1083,14,0,,464870.0
1084,6,0,,63210.0
1085,24,0,,84640.08
1086,1,0,,7452.22
1087,15,1,15.0,81843.19
1088,38,0,,131469.36
1089,4,0,,42176.68
1090,26,0,,456444.56
1091,1,0,,4760.0
1092,9,0,,247237.47
1093,22,0,,162555.58
1094,30,0,,491062.5
1095,11,0,,524104.13
1096,10,0,,223066.7
1097,17,0,,2256680.81
1098,12,0,,188805.06
1099,15,0,,319275.0
1100,23,0,,36962.84
1101,13,0,,441169.43
1102,19,0,,309035.0
1103,6,0,,205966.68
1104,20,0,,393633.4
1105,10,0,,648300.0
1106,18,0,,588555.0
1107,2,0,,67561.12
